Cliente 2598;CNF;PMW;20 dias;1 estrelas;R$ 5711.12
Cliente 6132;SAO;PMW;1 dias;4 estrelas;R$ 3270.09
Cliente 531;CNF;SAO;16 dias;3 estrelas;R$ 5207.66
Cliente 5307;CNF;SAO;14 dias;2 estrelas;R$ 2205.67
Cliente 4614;SAO;CNF;1 dias;2 estrelas;R$ 7164.43
Cliente 8332;PMW;CNF;20 dias;4 estrelas;R$ 3412.31
Cliente 2844;CNF;SAO;26 dias;5 estrelas;R$ 5156.55
Cliente 7461;SAO;CNF;22 dias;1 estrelas;R$ 1439.09
Cliente 7225;CNF;PMW;9 dias;3 estrelas;R$ 1943.38
Cliente 1771;SAO;PMW;4 dias;1 estrelas;R$ 1689.91
Cliente 2885;SAO;CNF;25 dias;1 estrelas;R$ 4101.02
Cliente 2161;CNF;SAO;25 dias;2 estrelas;R$ 2766.15
Cliente 89;CNF;SAO;8 dias;1 estrelas;R$ 6264.52
Cliente 1634;CNF;PMW;14 dias;5 estrelas;R$ 2631.39
Cliente 8814;SAO;CNF;11 dias;2 estrelas;R$ 1595.82
Cliente 4966;SAO;CNF;11 dias;2 estrelas;R$ 2120.74
Cliente 3774;SAO;PMW;18 dias;2 estrelas;R$ 2033.8
Cliente 2623;SAO;PMW;3 dias;4 estrelas;R$ 8102.06
Cliente 9129;PMW;CNF;7 dias;3 estrelas;R$ 6911.45
Cliente 8891;PMW;CNF;23 dias;4 estrelas;R$ 5243.51
Cliente 8421;CNF;PMW;20 dias;5 estrelas;R$ 2339.62
Cliente 916;SAO;PMW;7 dias;1 estrelas;R$ 898.75
Cliente 964;SAO;PMW;27 dias;4 estrelas;R$ 3033.11
Cliente 4020;CNF;PMW;29 dias;2 estrelas;R$ 3179.38
Cliente 8187;CNF;SAO;11 dias;3 estrelas;R$ 1341.91
Cliente 7908;PMW;CNF;3 dias;3 estrelas;R$ 8443.04
Cliente 7728;PMW;CNF;9 dias;5 estrelas;R$ 2921.82
Cliente 2203;PMW;CNF;1 dias;5 estrelas;R$ 9699.77
