Cliente7078;PMW;CNF;30 dias;1 estrelas;R$ 5277.43
Cliente3149;RIO;PMW;24 dias;2 estrelas;R$ 2098.72
Cliente8923;PMW;SAO;1 dias;1 estrelas;R$ 894.74
Cliente484;SAO;PMW;2 dias;1 estrelas;R$ 2372.44
Cliente3087;SAO;PMW;14 dias;4 estrelas;R$ 8577.35
Cliente2742;RIO;PMW;7 dias;2 estrelas;R$ 2814.61
Cliente8970;CNF;SAO;19 dias;5 estrelas;R$ 8850.35
Cliente8160;CNF;SAO;4 dias;3 estrelas;R$ 1144.15
Cliente5570;RIO;SAO;21 dias;2 estrelas;R$ 5088.71
Cliente9275;SAO;PMW;21 dias;3 estrelas;R$ 7106.06
Cliente2850;SAO;CNF;5 dias;2 estrelas;R$ 1130.3
Cliente1986;CNF;PMW;12 dias;3 estrelas;R$ 2161.32
Cliente5568;CNF;RIO;25 dias;5 estrelas;R$ 6267.93
Cliente5021;SAO;CNF;8 dias;1 estrelas;R$ 2961.94
Cliente9104;PMW;RIO;8 dias;4 estrelas;R$ 3034.82
Cliente3049;SAO;PMW;14 dias;5 estrelas;R$ 6289.69
Cliente9121;SAO;RIO;18 dias;3 estrelas;R$ 908.05
Cliente1452;CNF;RIO;10 dias;4 estrelas;R$ 1766.74
Cliente4007;PMW;SAO;5 dias;5 estrelas;R$ 3360.86
Cliente3103;PMW;SAO;19 dias;5 estrelas;R$ 4790.29
Cliente1567;RIO;CNF;8 dias;1 estrelas;R$ 3085.36
Cliente5127;PMW;CNF;15 dias;1 estrelas;R$ 2307.98
Cliente1679;RIO;CNF;7 dias;3 estrelas;R$ 2734.54
Cliente6436;RIO;PMW;17 dias;3 estrelas;R$ 8194.91
Cliente7323;SAO;CNF;24 dias;1 estrelas;R$ 774.63
Cliente6078;CNF;RIO;21 dias;5 estrelas;R$ 515.43
Cliente3359;PMW;CNF;18 dias;2 estrelas;R$ 8637.92
Cliente2414;PMW;SAO;29 dias;3 estrelas;R$ 1682.31
Cliente5621;RIO;SAO;18 dias;2 estrelas;R$ 4893.03
Cliente962;CNF;SAO;11 dias;1 estrelas;R$ 2326.53
Cliente8068;SAO;RIO;3 dias;1 estrelas;R$ 6056.36
Cliente266;RIO;CNF;15 dias;4 estrelas;R$ 6168.47
